area_sqft,bedrooms,bathrooms,age_years,floor,total_floors,parking,city_tier,property_type,furnishing,price_inr
2481.0,1,2,7,19,30,0,tier2,independent_house,fully,15056327.0
2267.0,3,4,15,10,22,1,tier1,villa,unfurnished,18563466.0
697.0,3,2,28,12,21,3,tier3,apartment,unfurnished,1807535.0
887.0,4,3,2,7,12,0,tier2,independent_house,semi,6680642.0
2840.0,3,2,37,18,28,0,metro,apartment,semi,16764922.0
2733.0,1,1,7,1,9,1,tier3,independent_house,fully,11340961.0
2675.0,2,2,32,5,18,2,tier2,villa,unfurnished,13172224.0
1041.0,3,2,25,20,24,3,tier2,apartment,unfurnished,4763363.0
2490.0,5,5,34,10,11,2,metro,apartment,semi,21107105.0
649.0,3,2,31,3,5,1,tier1,independent_house,unfurnished,4328494.0
990.0,4,5,21,8,11,3,tier1,apartment,unfurnished,5230364.0
2444.0,4,5,30,5,15,0,tier3,independent_house,unfurnished,6886862.0
2929.0,2,3,14,11,14,3,tier2,independent_house,unfurnished,16888539.0
3087.0,5,4,23,4,6,1,tier2,independent_house,fully,16605305.0
4425.0,4,5,37,8,14,1,tier1,apartment,unfurnished,18521400.0
3902.0,5,5,3,19,30,3,metro,independent_house,semi,25000000.0
1957.0,4,5,14,1,7,2,tier2,studio,semi,6744588.0
3609.0,4,5,0,16,20,1,metro,apartment,semi,25000000.0
792.0,1,1,21,1,5,1,tier2,apartment,semi,2835889.0
3914.0,3,2,32,9,21,1,tier2,apartment,semi,15017996.0
1985.0,1,2,1,14,21,3,tier2,apartment,fully,9215037.0
3516.0,4,4,22,20,26,0,tier1,independent_house,unfurnished,25000000.0
4379.0,4,5,17,5,16,0,tier3,villa,fully,21112591.0
3283.0,3,4,32,1,7,1,tier3,villa,unfurnished,12145141.0
4173.0,2,1,9,15,20,1,tier2,apartment,semi,19634171.0
441.0,1,2,6,18,29,3,metro,apartment,semi,3819143.0
1099.0,4,3,3,11,16,0,tier1,apartment,unfurnished,6562971.0
2967.0,4,3,16,1,9,3,metro,independent_house,unfurnished,25000000.0
2616.0,3,2,19,10,20,3,metro,villa,unfurnished,25000000.0
893.0,4,5,37,8,11,1,tier2,apartment,unfurnished,2855314.0
3345.0,4,3,19,9,11,3,tier2,independent_house,semi,19988218.0
640.0,3,4,7,1,13,3,tier3,apartment,unfurnished,1731099.0
4462.0,1,1,28,6,11,3,tier1,apartment,fully,23386779.0
1041.0,5,5,2,20,25,1,tier1,apartment,fully,9097036.0
2226.0,3,2,14,0,9,1,tier1,studio,unfurnished,9992136.0
3775.0,4,4,26,19,21,3,metro,independent_house,unfurnished,25000000.0
2507.0,5,5,10,10,11,1,metro,villa,semi,25000000.0
3449.0,2,3,24,12,18,0,tier1,apartment,fully,19902182.0
3284.0,4,5,18,19,30,2,metro,apartment,unfurnished,25000000.0
4289.0,1,2,39,4,13,1,tier2,villa,unfurnished,18238116.0
2302.0,5,5,11,20,29,3,tier1,apartment,fully,17111369.0
4413.0,1,1,37,5,14,3,tier2,studio,semi,11958425.0
2518.0,3,2,25,7,20,0,tier2,independent_house,unfurnished,12853164.0
4062.0,2,3,30,9,21,3,tier1,apartment,fully,21905837.0
3403.0,1,1,6,12,13,3,tier2,independent_house,fully,22792700.0
944.0,3,4,0,6,14,3,tier2,studio,semi,3597250.0
3038.0,5,5,29,16,24,1,tier1,villa,unfurnished,23624192.0
4001.0,1,1,19,0,4,2,tier1,villa,semi,25000000.0
926.0,2,3,12,13,27,3,tier2,studio,unfurnished,2561389.0
3838.0,1,2,36,13,17,3,metro,apartment,semi,25000000.0
832.0,1,1,13,11,23,1,metro,independent_house,unfurnished,9345453.0
3971.0,2,2,17,12,14,2,metro,apartment,semi,25000000.0
3634.0,3,2,29,15,24,1,tier2,villa,fully,21654754.0
1021.0,4,5,39,18,29,1,tier2,independent_house,fully,5447654.0
3378.0,4,3,36,4,12,2,tier2,villa,fully,23021598.0
878.0,4,5,26,10,12,1,tier2,villa,unfurnished,4668446.0
2728.0,4,5,4,11,13,0,tier1,villa,unfurnished,25000000.0
4187.0,2,1,4,7,16,2,tier2,apartment,semi,19229637.0
1244.0,5,5,28,20,30,1,metro,apartment,unfurnished,8633399.0
1112.0,1,1,20,10,19,2,metro,apartment,unfurnished,8185642.0
2133.0,4,4,5,12,14,1,tier2,villa,fully,16384798.0
1911.0,1,1,28,4,15,3,tier1,apartment,unfurnished,8957499.0
598.0,4,4,38,8,15,3,tier2,apartment,unfurnished,2012572.0
2269.0,1,2,2,13,15,1,tier2,independent_house,semi,11843060.0
1464.0,2,2,33,8,14,2,tier2,apartment,fully,4569580.0
910.0,2,2,14,16,19,0,tier2,apartment,semi,3901040.0
1531.0,4,3,16,2,16,3,tier2,apartment,unfurnished,6122848.0
484.0,1,2,29,3,16,0,tier1,apartment,semi,2722295.0
4151.0,2,1,10,7,9,3,metro,independent_house,fully,25000000.0
